
# Surface 0 of 1 surfaces

# Curve title: "'linear_s4.00_N18_RcInf_Rl0.10_fal.dat' u 1:(-$2):3 binary matrix"

# Contour 0, label:      900
-0.50186 2.51256 900 
-0.492462 2.50368 900 
-0.480683 2.49246 900 
-0.472362 2.4846 900 
-0.459505 2.47236 900 
-0.452261 2.46552 900 
-0.438325 2.45226 900 
-0.432161 2.44644 900 
-0.417145 2.43216 900 
-0.41206 2.42736 900 
-0.395964 2.41206 900 
-0.39196 2.40828 900 
-0.374782 2.39196 900 
-0.371859 2.38921 900 
-0.353599 2.37186 900 
-0.351759 2.37013 900 
-0.332415 2.35176 900 
-0.331658 2.35105 900 
-0.311558 2.33197 900 
-0.311234 2.33166 900 
-0.291457 2.31289 900 
-0.290066 2.31156 900 
-0.271357 2.29381 900 
-0.268897 2.29146 900 
-0.251256 2.27473 900 
-0.247727 2.27136 900 
-0.231156 2.25565 900 
-0.226556 2.25126 900 
-0.211055 2.23657 900 
-0.205385 2.23116 900 
-0.190955 2.21749 900 
-0.184212 2.21106 900 
-0.170854 2.19841 900 
-0.163038 2.19095 900 
-0.150754 2.17934 900 
-0.141864 2.17085 900 
-0.130653 2.16026 900 
-0.120688 2.15075 900 
-0.110553 2.14118 900 
-0.0995111 2.13065 900 
-0.0904523 2.1221 900 
-0.0783335 2.11055 900 
-0.0703518 2.10302 900 
-0.0571547 2.09045 900 
-0.0502513 2.08394 900 
-0.0359749 2.07035 900 
-0.0301508 2.06486 900 
-0.0147935 2.05025 900 
-0.0100503 2.04578 900 
0.0100503 2.04578 900 
0.0147935 2.05025 900 
0.0301508 2.06486 900 
0.0359749 2.07035 900 
0.0502513 2.08394 900 

# Contour 3, label: 
-2 3.93461 900 
-1.9842 3.9196 900 
-1.9799 3.91553 900 
-1.96302 3.8995 900 
-1.9598 3.89645 900 
-1.94184 3.8794 900 
-1.9397 3.87737 900 
-1.92066 3.8593 900 
-1.9196 3.85829 900 
-1.8995 3.83921 900 
-1.8794 3.82013 900 
-1.87831 3.8191 900 
-1.8593 3.80106 900 
-1.85713 3.799 900 
-1.8392 3.78198 900 
-1.83596 3.77889 900 
-1.8191 3.7629 900 
-1.81479 3.75879 900 
-1.799 3.74382 900 
-1.79362 3.73869 900 
-1.77889 3.72474 900 
-1.77244 3.71859 900 
-1.75879 3.70566 900 
-1.75127 3.69849 900 
-1.73869 3.68658 900 
-1.73009 3.67839 900 
-1.71859 3.6675 900 
-1.70892 3.65829 900 
-1.69849 3.64842 900 
-1.68774 3.63819 900 
-1.67839 3.62934 900 
-1.66656 3.61809 900 
-1.65829 3.61027 900 
-1.64538 3.59799 900 
-1.63819 3.59119 900 
-1.62421 3.57789 900 
-1.61809 3.57211 900 
-1.60303 3.55779 900 
-1.59799 3.55303 900 
-1.58185 3.53769 900 
-1.57789 3.53395 900 
-1.56067 3.51759 900 
-1.55779 3.51487 900 
-1.53948 3.49749 900 
-1.53769 3.49579 900 
-1.5183 3.47739 900 
-1.51759 3.47671 900 
-1.49749 3.45763 900 
-1.49712 3.45729 900 
-1.47739 3.43855 900 
-1.47595 3.43719 900 
-1.45729 3.41947 900 
-1.45478 3.41709 900 
-1.43719 3.4004 900 
-1.43361 3.39698 900 
-1.41709 3.38132 900 
-1.41244 3.37688 900 
-1.39698 3.36224 900 
-1.39126 3.35678 900 
-1.37688 3.34316 900 
-1.37009 3.33668 900 
-1.35678 3.32408 900 
-1.34891 3.31658 900 
-1.33668 3.305 900 
-1.32774 3.29648 900 
-1.31658 3.28592 900 
-1.30656 3.27638 900 
-1.29648 3.26684 900 
-1.28539 3.25628 900 
-1.27638 3.24776 900 
-1.26421 3.23618 900 
-1.25628 3.22868 900 
-1.24303 3.21608 900 
-1.23618 3.2096 900 
-1.22185 3.19598 900 
-1.21608 3.19053 900 
-1.20067 3.17588 900 
-1.19598 3.17145 900 
-1.17949 3.15578 900 
-1.17588 3.15237 900 
-1.15831 3.13568 900 
-1.15578 3.13329 900 
-1.13713 3.11558 900 
-1.13568 3.11421 900 
-1.11595 3.09548 900 
-1.11558 3.09513 900 
-1.09548 3.07605 900 
-1.09477 3.07538 900 
-1.07538 3.05697 900 
-1.0736 3.05528 900 
-1.05528 3.03789 900 
-1.05243 3.03518 900 
-1.03518 3.01881 900 
-1.03126 3.01508 900 
-1.01508 2.99974 900 
-1.01008 2.99497 900 
-0.994975 2.98066 900 
-0.988911 2.97487 900 
-0.974874 2.96158 900 

